code|name|active
01010101|No existe en el catálogo|TRUE
10101500|Animales vivos de granja|FALSE
10101501|Gatos vivos|TRUE
10101502|Perros|TRUE
10101504|Visón|TRUE
10101505|Ratas|TRUE
10101506|Caballos|TRUE
10101507|Ovejas|TRUE
10101508|Cabras|TRUE
10101509|Asnos|TRUE
10101510|Ratones|TRUE
10101511|Cerdos|TRUE
10101512|Conejos|TRUE
10101513|Cobayas o conejillos de indias|TRUE
10101514|Primates|TRUE
10101515|Armadillos|TRUE
10101516|Ganado vacuno|TRUE
10101517|Camellos|TRUE
10101600|Pájaros y aves de corral vivos|FALSE
10101601|Pollos vivos|TRUE
10101602|Patos vivos|TRUE
10101603|Pavos vivos|TRUE
10101604|Gansos vivos|TRUE
10101605|Faisanes vivos|TRUE
10101700|Peces vivos|FALSE
10101701|Salmones vivos|TRUE
10101702|Trucha viva|TRUE
10101703|Tilapia viva|TRUE
10101704|Carpa viva|TRUE
10101705|Anguilas vivas|TRUE
10101800|Mariscos e invertebrados acuáticos vivos|FALSE
10101801|Camarón vivo|TRUE
10101802|Almejas vivas|TRUE
10101803|Mejillones vivos|TRUE
10101804|Ostras vivas|TRUE
10101805|Cangrejos vivos|TRUE
10101806|Abulones vivos|TRUE
10101807|Pulpo vivo|TRUE
10101808|Calamar vivo|TRUE
10101809|Sanguijuelas|TRUE
10101900|Insectos vivos|FALSE
10101901|Mariposas|TRUE
10101902|Escarabajos|TRUE
10101903|Abejas|TRUE
10101904|Gusanos de seda|TRUE
10102000|Animales salvajes vivos|FALSE
10102001|Elefantes|TRUE
10102002|Zorros vivos|TRUE
10102100|Huevos de aves para incubar|FALSE
10111300|Accesorios, equipo y tratamientos para los animales domésticos|FALSE
10111301|Juguetes para mascotas|TRUE
10111302|Productos para el aseo y cuidado de mascotas|TRUE
10111303|Equipo para el manejo de desperdicios de las mascotas|TRUE
10111304|Tazones o equipo para alimentación de mascotas|TRUE
10111305|Tratamientos medicados para mascotas|TRUE
10111306|Kits para el entrenamiento de mascotas domésticas|TRUE
10111307|Cobijas para mascotas|TRUE
10121500|Pienso para ganado|FALSE
10121501|Salvado de trigo puro|TRUE
10121502|Avena para forraje|TRUE
10121503|Maíz para forraje|TRUE
10121504|Sorgo para forraje|TRUE
10121505|Heno|TRUE
10121506|Tortas oleaginosas|TRUE
10121507|Forraje compuesto|TRUE
10121600|Alimento para pájaros y aves de corral|FALSE
10121601|Alimento vivo para aves|TRUE
10121602|Alpiste|TRUE
10121603|Botanas o comida recreacional para aves|TRUE
10121604|Alimento avícola|TRUE
10121700|Alimento para peces|FALSE
10121701|Salmuera fresca o congelada|TRUE
10121702|Alimento granulado para peces|TRUE
10121703|Alimento en hojuelas para peces|TRUE
10121800|Alimento para perros y gatos|FALSE
10121801|Comida seca para perros|TRUE
10121802|Comida húmeda para perros|TRUE
10121803|Leche para perros o gatos|TRUE
10121804|Comida seca para gatos|TRUE
10121805|Comida húmeda para gatos|TRUE
10121806|Botanas o comida recreacional para gatos o perros|TRUE
10121900|Alimento para roedores|FALSE
10121901|Comida granulada para roedores|TRUE
10122000|Alimento para reptiles|FALSE
10122001|Comida granulada para reptiles|TRUE
10122002|Comida húmeda para reptiles|TRUE
10122003|Comida viva para reptiles|TRUE
10122100|Comida para animales variados|FALSE
10122101|Comida para cerdos|TRUE
10122102|Comida para visones|TRUE
10122103|Comida para monos|TRUE
10122104|Comida para conejos|TRUE
10131500|Cobertizos para animales|FALSE
10131506|Establos para ganado|TRUE
10131507|Casas para mascotas domesticadas|TRUE
10131508|Camas para mascotas|TRUE
10131600|Recipientes para animales|FALSE
10131601|Jaulas o sus accesorios|TRUE
10131602|Perreras|TRUE
10131603|Equipaje para el transporte de animales|TRUE
10131604|Correas para perros|TRUE
10131700|Hábitat para animales|FALSE
10131701|Terrarios|TRUE
10131702|Acuarios|TRUE
10141500|Talabartería|FALSE
10141501|Sillas de montar|TRUE
10141502|Fustas y látigos|TRUE
10141503|Herraduras para caballo|TRUE
10141504|Herraduras para mula|TRUE
10141505|Sillín o pelero|TRUE
10141600|Arneses|FALSE
10141601|Bridas|TRUE
10141602|Yugos|TRUE
10141603|Bocados para caballos|TRUE
10141604|Riendas|TRUE
10141605|Estribos|TRUE
10141606|Correas o traíllas|TRUE
10141607|Arneses de cuello para animales|TRUE
10141608|Arneses o sus accesorios|TRUE
10141609|Sujetadores|TRUE
10141610|Bozales|TRUE
10141611|Soportes para correas|TRUE
10151500|Semillas y plántulas vegetales|FALSE
10151501|Semillas o plántulas de fríjol|TRUE
10151502|Semillas o plántulas de zanahoria|TRUE
10151503|Semillas o plántulas de apio|TRUE
10151504|Semillas o plántulas de chiles|TRUE
10151505|Semillas o plántulas de calabacín|TRUE
10151506|Semillas o plántulas de alverja|TRUE
10151507|Semillas o plántulas de pepino cohombro|TRUE
10151508|Semillas o plántulas de berenjena|TRUE
10151509|Semillas o plántulas de endivias|TRUE
10151510|Semillas o plántulas de ajo|TRUE
10151511|Semillas o plántulas de puerro|TRUE
10151512|Semillas o plántulas de lechuga|TRUE
10151513|Semillas o plántulas de maíz|TRUE
10151514|Semillas o plántulas de melón|TRUE
10151515|Semillas o plántulas cebolla|TRUE
10151516|Semillas o plántulas de soya|TRUE
10151517|Semillas o plántulas de espinaca|TRUE
10151518|Semillas o plántulas de tomate|TRUE
10151519|Semillas o plántulas de nabo|TRUE
10151520|Semillas o plántulas de acelga|TRUE
10151521|Semillas o plántulas de pimiento morrón|TRUE
10151522|Semillas o plántulas de remolacha|TRUE
10151523|Semillas o plántulas de coliflor|TRUE
10151524|Semillas o plántulas de perejil|TRUE
10151525|Semillas o plántulas de brócoli|TRUE
10151526|Semillas o plántulas de repollo|TRUE
10151527|Semillas o plántulas de papa|TRUE
10151528|Semillas o plántulas de batata|TRUE
10151529|Semillas o plántulas de calabaza|TRUE
10151530|Semillas o plántulas de rábano|TRUE
10151531|Semillas o plántulas de repollitos de bruselas|TRUE
10151532|Semillas o plántulas de ahuyama|TRUE
10151533|Semillas o plántulas de okra|TRUE
10151534|Semillas o plántulas de melón cantalupo|TRUE
10151535|Semillas o plántulas de maní|TRUE
10151536|Semillas o plántulas de caigua|TRUE
10151537|Semillas o plántulas de espárrago|TRUE
10151538|Semillas o plántulas de garbanzo|TRUE
10151539|Semillas o plántulas de haba|TRUE
10151600|Semillas de cereales|FALSE
10151601|Semillas de trigo|TRUE
10151602|Semillas de canola|TRUE
10151603|Semillas de cebada|TRUE
10151604|Semillas de mijo|TRUE
10151605|Semillas de avena|TRUE
10151606|Semillas de ajonjolí|TRUE
10151607|Semillas de linaza|TRUE
10151608|Semillas de aceite de ricino|TRUE
10151609|Semillas de maíz|TRUE
10151610|Semillas de centeno|TRUE
10151611|Semillas de sorgo|TRUE
10151612|Semillas o plántulas de kiwicha|TRUE
10151613|Semillas o plántulas de quínoa|TRUE
10151700|Semillas y plántulas de hierba y forraje|FALSE
10151701|Semillas o plántulas de arroz|TRUE
10151702|Semillas o plántulas de trébol|TRUE
10151703|Semillas o plántulas de alfalfa|TRUE
10151704|Semillas o plántulas de pasto|TRUE
10151705|Semillas o plántulas de veza (gachas / guija)|TRUE
10151706|Semillas o plántulas de guar|TRUE
10151800|Semillas y plántulas de especias|FALSE
10151801|Semillas o plántulas de pimienta|TRUE
10151802|Semillas o plántulas de vainilla|TRUE
10151803|Semillas o plántulas de canela|TRUE
10151804|Semillas o plántulas de clavo de olor|TRUE
10151805|Semillas o plántulas de cilantro|TRUE
10151806|Semillas o plántulas de jengibre|TRUE
10151807|Semillas o plántulas de azafrán|TRUE
10151808|Semillas o plántulas de tomillo|TRUE
10151809|Semillas o plántulas de curry|TRUE
10151810|Semillas o plántulas de mostaza|TRUE
10151811|Semillas o plántulas de ginseng|TRUE
10151812|Semillas o plántulas de champiñones|TRUE
