18|Tambor de cincuenta y cinco galones (EUA)|TRUE
19|Camión cisterna|TRUE
26|Tonelada real|TRUE
29|Libra por mil pies cuadrados|TRUE
30|Día de potencia de caballos por tonelada métrica de aire seco|TRUE
31|Pescar|TRUE
32|Kilogramo por tonelada métrica seca del aire|TRUE
36|Pie cúbico por minuto por pie cuadrado|TRUE
44|Bolsa a granel de quinientos kilos|TRUE
45|Bolsa a granel de trescientos kilos|TRUE
46|Bolsa a granel de cincuenta libras|TRUE
47|Bolso de cincuenta libras|TRUE
48|Carga masiva|TRUE
53|Kilogramo teórico|TRUE
54|Tonelada teórica (UK)|TRUE
62|Por ciento por 1000 horas|TRUE
63|Tasa de fracaso en el tiempo|TRUE
64|Libra por pulgada cuadrada, calíbre|TRUE
66|Oersted|TRUE
69|Escala específica de prueba|TRUE
71|Voltios amperios por libra|TRUE
72|Vatio por libra|TRUE
73|Amperios por centímetro|TRUE
76|Gauss|TRUE
78|Kilogauss|TRUE
84|Kilopound-force por pulgada cuadrada|TRUE
90|Saybold segundo universal|TRUE
92|Calorías por centímetro cúbico|TRUE
93|Calorías por gramo|TRUE
94|Unidad de curl|TRUE
95|Veinte mil galones|TRUE
96|Diez mil galones (US)|TRUE
97|Diez kilos de tambor|TRUE
98|Quince kilos de tambor|TRUE
05|Ascensor|TRUE
06|Pequeño aerosol|TRUE
08|Montón de calor|TRUE
10|Grupos|TRUE
11|Equipos|TRUE
13|Raciones|TRUE
14|Shot|TRUE
15|Palo, medida militar.|TRUE
16|Tambor de 115 kilogramos|TRUE
17|Tambor de cien libras|TRUE
1A|Milla de carros|TRUE
1B|Recuento de automóviles|TRUE
1C|Conteo de locomotoras|TRUE
1D|Caboose count|TRUE
1E|Coche vacío|TRUE
1F|Milla de tren|TRUE
1G|Galón del uso del combustible (los EUA)|TRUE
1H|Milla de caboose|TRUE
1I| Tipo de interés fijo|TRUE
1J|Tonelada milla|TRUE
1K|Milla locomotora|TRUE
1L|Recuento total de automóviles|TRUE
1M|Milla total del coche|TRUE
1X|Cuarto de milla|TRUE
20| Contenedores de veinte pies|TRUE
21| Contenedor de cuarenta pies|TRUE
22|Decilitro por gramo|TRUE
23|Gramo por centímetro cúbico|TRUE
24|Libra teórica|TRUE
25|Gramo por centímetro cuadrado|TRUE
